Feeling Word (EN),Feeling Word (ES),Feeling Word (PT),Feeling Word (IT),It might relate to (EN),It might relate to (ES),It might relate to (PT),It might relate to (IT),Adaptive Explanation (EN),Adaptive Explanation (ES),Adaptive Explanation (PT),Adaptive Explanation (IT)
Accomplished,Logrado,Realizado,Realizzato,Achievement,Logro,Conquista,Realizzazione,Validates the results of your efforts and encourages continued growth.,Valida los resultados de tus esfuerzos y fomenta el crecimiento continuo.,Valida os resultados dos seus esforços e incentiva o crescimento contínuo.,Convalida i risultati dei tuoi sforzi e incoraggia una crescita continua.
Angry,Enojado,Zangado,Arrabbiato,Achievement,Logro,Conquista,Realizzazione,"Signals a boundary has been crossed or a value violated, motivating assertive action.","Indica que se ha cruzado un límite o se ha violado un valor, motivando a una acción asertiva.","Sinaliza que um limite foi ultrapassado ou um valor foi violado, motivando uma ação assertiva.","Segnala che un confine è stato oltrepassato o un valore è stato violato, motivando un'azione assertiva."
Celebrated,Celebrado,Celebrado,Celebrato,Achievement,Logro,Conquista,Realizzazione,Reinforces the value of your contribution and inspires continued engagement.,Refuerza el valor de tu contribución e inspira un compromiso continuo.,Reforça o valor da sua contribuição e inspira engajamento contínuo.,Rafforza il valore del tuo contributo e ispira un impegno continuo.
Confident,Confiado,Confiante,Fiducioso,Achievement,Logro,Conquista,Realizzazione,"Builds inner security to take risks, try new things, and persist through setbacks.","Construye seguridad interna para tomar riesgos, probar cosas nuevas y persistir a través de los contratiempos.","Constrói segurança interna para assumir riscos, tentar coisas novas e persistir diante de contratempos.","Costruisce sicurezza interiore per correre rischi, provare nuove cose e persistere attraverso le battute d'arresto."
Depressed,Deprimido,Deprimido,Depresso,Achievement,Logro,Conquista,Realizzazione,"Signals emotional overload or loss of purpose, inviting rest or reconnection.","Indica una sobrecarga emocional o pérdida de propósito, invitando al descanso o a la reconexión.","Sinaliza sobrecarga emocional ou perda de propósito, convidando ao descanso ou à reconexão.","Segnala un sovraccarico emotivo o una perdita di scopo, invitando al riposo o a una riconnessione."
Distinguished,Distinguido,Distinto,Distinto,Achievement,Logro,Conquista,Realizzazione,Highlights a unique contribution or excellence that can inspire leadership or service.,Destaca una contribución o excelencia única que puede inspirar liderazgo o servicio.,Destaca uma contribuição única ou excelência que pode inspirar liderança ou serviço.,Mette in evidenza un contributo unico o un'eccellenza che può ispirare la leadership o il servizio.
Esteemed,Estimado,Estimado,Stimato,Achievement,Logro,Conquista,Realizzazione,"Reflects social validation, which can enhance belonging and self-worth.","Refleja la validación social, lo que puede mejorar el sentido de pertenencia y la autoestima.","Reflete a validação social, que pode aumentar o sentimento de pertencimento e a autoestima.","Riflette la convalida sociale, che può migliorare il senso di appartenenza e l'autostima."
Excited,Emocionado,Animado,Eccitato,Achievement,Logro,Conquista,Realizzazione,Mobilizes energy for engaging with something meaningful or novel.,Moviliza energía para interactuar con algo significativo o novedoso.,Mobiliza energia para se engajar com algo significativo ou novo.,Mobilita l'energia per interagire con qualcosa di significativo o nuovo.
Frustrated,Frustrado,Frustrado,Frustrato,Achievement,Logro,Conquista,Realizzazione,"Signals obstacles to goals, prompting adaptation or persistence.","Indica obstáculos para los objetivos, lo que provoca la adaptación o la persistencia.","Sinaliza obstáculos para os objetivos, incitando à adaptação ou persistência.","Segnala ostacoli agli obiettivi, spingendo all'adattamento o alla persistenza."
Fulfilled,"Satisfecho, Realizado",Realizado,"Appagato, Soddisfatto",Achievement,Logro,Conquista,Realizzazione,"Reflects alignment between actions and personal values, supporting purpose and satisfaction.","Refleja la alineación entre las acciones y los valores personales, apoyando el propósito y la satisfacción.","Reflete o alinhamento entre ações e valores pessoais, apoiando propósito e satisfação.","Riflette l'allineamento tra azioni e valori personali, supportando scopo e soddisfazione."
Honored,Honrado,Honrado,Onorato,Achievement,Logro,Conquista,Realizzazione,"Affirms your role or contribution in a meaningful context, strengthening identity.","Afirma tu rol o contribución en un contexto significativo, fortaleciendo la identidad.","Afirma seu papel ou contribuição em um contexto significativo, fortalecendo a identidade.","Afferma il tuo ruolo o contributo in un contesto significativo, rafforzando l'identità."
Hostile,Hostil,Hostil,Ostile,Achievement,Logro,Conquista,Realizzazione,"Signals intense threat or perceived injustice, urging protective or distancing action.","Señala una amenaza intensa o una injusticia percibida, instando a una acción protectora o de distanciamiento.","Sinaliza uma ameaça intensa ou injustiça percebida, solicitando uma ação protetora ou de distanciamento.","Segnala una minaccia intensa o un'ingiustizia percepita, spingendo a un'azione protettiva o di allontanamento."
Irritated,Irritado,Irritado,Irritato,Achievement,Logro,Conquista,Realizzazione,"Signals minor violations or stressors, prompting attention and possible adjustment.","Indica violaciones o factores estresantes menores, lo que provoca atención y un posible ajuste.","Sinaliza violações menores ou estressores, chamando a atenção e um possível ajuste.","Segnala piccole violazioni o fattori di stress, richiedendo attenzione e un possibile aggiustamento."
Overwhelmed,Abrumado,"Oprimido, Sobrecargado",Sopraffatto,Achievement,Logro,Conquista,Realizzazione,"Signals that demands exceed resources, inviting rest or prioritization.","Indica que las demandas superan los recursos, lo que invita al descanso o a la priorización.","Sinaliza que as demandas excedem os recursos, convidando ao descanso ou à priorização.","Segnala che le richieste superano le risorse, invitando al riposo o alla definizione delle priorità."
Proud,Orgulloso,Orgulhoso,Orgoglioso,Achievement,Logro,Conquista,Realizzazione,"Affirms your values and efforts, reinforcing motivation and self-respect.","Afirma tus valores y esfuerzos, reforzando la motivación y el respeto propio.","Afirma seus valores e esforços, reforçando a motivação e o autorrespeito.","Afferma i tuoi valori e sforzi, rafforzando la motivazione e il rispetto di sé."
Satisfied,Satisfecho,Satisfeito,Soddisfatto,Achievement,Logro,Conquista,Realizzazione,"Signals that a goal has been met, allowing space for rest or redirection.","Indica que se ha logrado una meta, lo que deja espacio para el descanso o la reorientación.","Sinaliza que uma meta foi alcançada, permitindo espaço para descanso ou redirecionamento.","Segnala che un obiettivo è stato raggiunto, lasciando spazio per il riposo o il reindirizzamento."
Successful,Exitoso,Bem-sucedido,Di successo,Achievement,Logro,Conquista,Realizzazione,Reinforces goal-directed behavior by showing that effort leads to meaningful outcomes.,Refuerza el comportamiento dirigido a metas al mostrar que el esfuerzo conduce a resultados significativos.,"Reforça o comportamento orientado a objetivos, mostrando que o esforço leva a resultados significativos.",Rafforza il comportamento orientato agli obiettivi mostrando che lo sforzo porta a risultati significativi.
Tense,Tenso,Tenso,Teso,Achievement,Logro,Conquista,Realizzazione,"Alerts you to internal strain, prompting regulation or release.","Te alerta sobre la tensión interna, lo que provoca la regulación o la liberación.","Alerta para a tensão interna, incitando a regulação ou a liberação.","Ti avvisa della tensione interna, spingendo alla regolazione o al rilascio."
Tired,Cansado,Cansado,Stanco,Achievement,Logro,Conquista,Realizzazione,Signals the need for rest and recovery to restore capacity.,Indica la necesidad de descanso y recuperación para restaurar la capacidad.,Sinaliza a necessidade de descanso e recuperação para restaurar a capacidade.,Segnala la necessità di riposo e recupero per ripristinare la capacità.
Triumphant,Triunfante,Triunfante,Trionfante,Achievement,Logro,Conquista,Realizzazione,"Celebrates personal or collective success, energizing future efforts.","Celebra el éxito personal o colectivo, energizando los esfuerzos futuros.","Celebra o sucesso pessoal ou coletivo, energizando esforços futuros.","Celebra il successo personale o collettivo, energizzando gli sforzi futuri."
Victorious,Victorioso,Vitorioso,Vittorioso,Achievement,Logro,Conquista,Realizzazione,"Recognizes the ability to overcome challenges, reinforcing perseverance.","Reconoce la capacidad para superar desafíos, reforzando la perseverancia.","Reconhece a capacidade de superar desafios, reforçando a perseverança.","Riconosce la capacità di superare le sfide, rafforzando la perseveranza."
Acknowledged,Reconocido,Reconhecido,Riconosciuto,Appreciation,Aprecio,Apreciação,Apprezzamento,"Validates your presence or efforts, supporting belonging and motivation.","Valida tu presencia o esfuerzos, apoyando el sentido de pertenencia y la motivación.","Valida sua presença ou esforços, apoiando o pertencimento e a motivação.","Convalida la tua presenza o i tuoi sforzi, supportando il senso di appartenenza e la motivazione."
Admired,Admirado,Admirado,Ammirato,Appreciation,Aprecio,Apreciação,Apprezzamento,Encourages authenticity and excellence by reflecting others’ positive regard.,Fomenta la autenticidad y la excelencia al reflejar la consideración positiva de los demás.,Incentiva a autenticidade e a excelência refletindo a consideração positiva dos outros.,Incoraggia l'autenticità e l'eccellenza riflettendo la stima positiva degli altri.
